tree,d_10_1st,d_10_2nd,d_10_3rd,d_10_4th,d_10_5th,d_10_6th,d_10_7th,d_10_8th,d_10_9th,d_10_10th,height,area_m2,sub_plot_area,subplot,subplot_density,rainfall,plot_density,plots,landform
151,4,,,,,,,,,,460,210,150,g3s1,0.56,high,0.62380952,g3,shed
152,4.5,,,,,,,,,,460,210,150,g3s1,0.56,high,0.62380952,g3,shed
153,3,,,,,,,,,,370,210,150,g3s1,0.56,high,0.62380952,g3,shed
154,4,,,,,,,,,,470,210,150,g3s1,0.56,high,0.62380952,g3,shed
155,2,,,,,,,,,,270,210,150,g3s1,0.56,high,0.62380952,g3,shed
156,2,,,,,,,,,,360,210,150,g3s1,0.56,high,0.62380952,g3,shed
157,2,,,,,,,,,,420,210,150,g3s1,0.56,high,0.62380952,g3,shed
158,3,,,,,,,,,,510,210,150,g3s1,0.56,high,0.62380952,g3,shed
159,4,,,,,,,,,,510,210,150,g3s1,0.56,high,0.62380952,g3,shed
160,2,,,,,,,,,,390,210,150,g3s1,0.56,high,0.62380952,g3,shed
161,2,,,,,,,,,,370,210,150,g3s1,0.56,high,0.62380952,g3,shed
162,5,,,,,,,,,,570,210,150,g3s1,0.56,high,0.62380952,g3,shed
163,2.5,,,,,,,,,,470,210,150,g3s1,0.56,high,0.62380952,g3,shed
164,3,4,,,,,,,,,480,210,150,g3s1,0.56,high,0.62380952,g3,shed
165,3,,,,,,,,,,370,210,150,g3s1,0.56,high,0.62380952,g3,shed
166,3.5,,,,,,,,,,450,210,150,g3s1,0.56,high,0.62380952,g3,shed
167,4,,,,,,,,,,530,210,150,g3s1,0.56,high,0.62380952,g3,shed
168,4,,,,,,,,,,520,210,150,g3s1,0.56,high,0.62380952,g3,shed
169,4,,,,,,,,,,550,210,150,g3s1,0.56,high,0.62380952,g3,shed
170,3.5,3,,,,,,,,,480,210,150,g3s1,0.56,high,0.62380952,g3,shed
171,5,,,,,,,,,,540,210,150,g3s1,0.56,high,0.62380952,g3,shed
172,9,,,,,,,,,,570,210,150,g3s1,0.56,high,0.62380952,g3,shed
173,2.5,,,,,,,,,,325,210,150,g3s1,0.56,high,0.62380952,g3,shed
174,3,,,,,,,,,,450,210,150,g3s1,0.56,high,0.62380952,g3,shed
175,3.5,,,,,,,,,,460,210,150,g3s1,0.56,high,0.62380952,g3,shed
176,3,,,,,,,,,,410,210,150,g3s1,0.56,high,0.62380952,g3,shed
177,2.5,,,,,,,,,,450,210,150,g3s1,0.56,high,0.62380952,g3,shed
178,4,,,,,,,,,,480,210,150,g3s1,0.56,high,0.62380952,g3,shed
179,4,,,,,,,,,,370,210,150,g3s1,0.56,high,0.62380952,g3,shed
180,3.5,,,,,,,,,,370,210,150,g3s1,0.56,high,0.62380952,g3,shed
181,4,,,,,,,,,,470,210,150,g3s1,0.56,high,0.62380952,g3,shed
182,4,5,,,,,,,,,520,210,150,g3s1,0.56,high,0.62380952,g3,shed
183,3,,,,,,,,,,400,210,150,g3s1,0.56,high,0.62380952,g3,shed
184,4,,,,,,,,,,450,210,150,g3s1,0.56,high,0.62380952,g3,shed
185,5,,,,,,,,,,480,210,150,g3s1,0.56,high,0.62380952,g3,shed
186,5,2,,,,,,,,,490,210,150,g3s1,0.56,high,0.62380952,g3,shed
187,3,,,,,,,,,,410,210,150,g3s1,0.56,high,0.62380952,g3,shed
188,2,,,,,,,,,,320,210,150,g3s1,0.56,high,0.62380952,g3,shed
189,2,,,,,,,,,,380,210,150,g3s1,0.56,high,0.62380952,g3,shed
190,4,,,,,,,,,,490,210,150,g3s1,0.56,high,0.62380952,g3,shed
191,5,,,,,,,,,,530,210,150,g3s1,0.56,high,0.62380952,g3,shed
192,4,,,,,,,,,,510,210,150,g3s1,0.56,high,0.62380952,g3,shed
193,3.5,,,,,,,,,,375,210,150,g3s1,0.56,high,0.62380952,g3,shed
194,4,,,,,,,,,,440,210,150,g3s1,0.56,high,0.62380952,g3,shed
195,2,,,,,,,,,,380,210,150,g3s1,0.56,high,0.62380952,g3,shed
196,4.5,,,,,,,,,,510,210,150,g3s1,0.56,high,0.62380952,g3,shed
197,4,,,,,,,,,,380,210,150,g3s1,0.56,high,0.62380952,g3,shed
198,2,,,,,,,,,,380,210,150,g3s1,0.56,high,0.62380952,g3,shed
199,4,,,,,,,,,,490,210,150,g3s1,0.56,high,0.62380952,g3,shed
200,4.5,,,,,,,,,,460,210,150,g3s1,0.56,high,0.62380952,g3,shed
201,3,,,,,,,,,,410,210,150,g3s1,0.56,high,0.62380952,g3,shed
202,3,,,,,,,,,,380,210,150,g3s1,0.56,high,0.62380952,g3,shed
203,5.5,,,,,,,,,,470,210,150,g3s1,0.56,high,0.62380952,g3,shed
204,5,,,,,,,,,,480,210,150,g3s1,0.56,high,0.62380952,g3,shed
205,3,4,,,,,,,,,420,210,150,g3s1,0.56,high,0.62380952,g3,shed
206,4,,,,,,,,,,460,210,150,g3s1,0.56,high,0.62380952,g3,shed
207,4,,,,,,,,,,470,210,150,g3s1,0.56,high,0.62380952,g3,shed
208,3,,,,,,,,,,370,210,150,g3s1,0.56,high,0.62380952,g3,shed
209,3,,,,,,,,,,410,210,150,g3s1,0.56,high,0.62380952,g3,shed
210,3,,,,,,,,,,430,210,150,g3s1,0.56,high,0.62380952,g3,shed
211,3,,,,,,,,,,400,210,150,g3s1,0.56,high,0.62380952,g3,shed
212,4.5,,,,,,,,,,490,210,150,g3s1,0.56,high,0.62380952,g3,shed
213,3,,,,,,,,,,450,210,150,g3s1,0.56,high,0.62380952,g3,shed
214,8,,,,,,,,,,550,210,150,g3s1,0.56,high,0.62380952,g3,shed
215,3,,,,,,,,,,390,210,150,g3s1,0.56,high,0.62380952,g3,shed
216,3,,,,,,,,,,400,210,150,g3s1,0.56,high,0.62380952,g3,shed
217,1,,,,,,,,,,235,210,150,g3s1,0.56,high,0.62380952,g3,shed
218,2,,,,,,,,,,120,210,150,g3s1,0.56,high,0.62380952,g3,shed
219,3,,,,,,,,,,295,210,150,g3s1,0.56,high,0.62380952,g3,shed
220,5,,,,,,,,,,480,210,150,g3s1,0.56,high,0.62380952,g3,shed
221,4,,,,,,,,,,440,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
222,3,,,,,,,,,,370,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
223,3.5,,,,,,,,,,320,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
224,3,,,,,,,,,,280,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
225,4,,,,,,,,,,400,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
226,4,,,,,,,,,,430,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
227,3,,,,,,,,,,400,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
228,3,,,,,,,,,,410,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
229,4,,,,,,,,,,450,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
230,4,,,,,,,,,,450,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
231,4.5,,,,,,,,,,450,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
232,2,,,,,,,,,,200,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
233,4,,,,,,,,,,410,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
234,4,,,,,,,,,,400,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
235,3.5,,,,,,,,,,460,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
236,3,,,,,,,,,,360,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
237,5,,,,,,,,,,480,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
238,2.5,3,2.5,,,,,,,,370,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
239,1,2,,,,,,,,,100,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
240,2.5,,,,,,,,,,370,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
241,2.3,,,,,,,,,,400,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
242,3.5,,,,,,,,,,410,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
243,2,,,,,,,,,,255,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
244,14.3,,,,,,,,,,750,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
245,7,,,,,,,,,,490,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
246,3,,,,,,,,,,400,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
247,3,,,,,,,,,,410,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
248,3,,,,,,,,,,380,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
249,2.5,,,,,,,,,,370,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
250,2.5,,,,,,,,,,380,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
251,2.5,,,,,,,,,,400,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
252,4,,,,,,,,,,450,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
253,4.5,,,,,,,,,,450,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
254,2,,,,,,,,,,280,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
255,6,,,,,,,,,,520,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
256,4,,,,,,,,,,440,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
257,1,1,,,,,,,,,240,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
258,2.5,,,,,,,,,,410,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
259,6,,,,,,,,,,490,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
260,4,,,,,,,,,,410,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
261,2.5,,,,,,,,,,160,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
262,4.5,,,,,,,,,,440,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
263,5,,,,,,,,,,460,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
264,4,,,,,,,,,,450,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
265,5,,,,,,,,,,490,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
266,5,,,,,,,,,,410,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
267,2,,,,,,,,,,230,210,60,g3s2,0.78333333,high,0.62380952,g3,shed
268,18.9,9.5,,,,,,,,,810,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
269,15.5,,,,,,,,,,740,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
270,12.8,,,,,,,,,,850,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
271,7.8,,,,,,,,,,650,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
272,7.2,,,,,,,,,,450,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
273,12.8,6.7,11.1,,,,,,,,830,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
274,3.5,,,,,,,,,,280,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
275,13.8,,,,,,,,,,740,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
276,5,,,,,,,,,,380,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
277,3,7,7,,,,,,,,710,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
278,3,,,,,,,,,,130,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
279,7.5,,,,,,,,,,820,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
280,6.5,5,,,,,,,,,578,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
281,6,,,,,,,,,,560,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
282,15.5,,,,,,,,,,870,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
283,7,,,,,,,,,,430,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
284,15,,,,,,,,,,860,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
285,12.3,,,,,,,,,,620,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
286,10,,,,,,,,,,890,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
287,11.6,,,,,,,,,,840,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
288,12.1,,,,,,,,,,770,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
289,5.5,,,,,,,,,,490,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
290,17.2,,,,,,,,,,890,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
291,9,,,,,,,,,,650,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
292,14.9,,,,,,,,,,700,900,150,g4s1,0.166666666,high,0.14333333,g4,shed
293,11.2,,,,,,,,,,670,900,150,g4s2,0.11333333,high,0.14333333,g4,shed
294,8.6,,,,,,,,,,670,900,150,g4s2,0.11333333,high,0.14333333,g4,shed
295,4,,,,,,,,,,350,900,150,g4s2,0.11333333,high,0.14333333,g4,shed
296,3,,,,,,,,,,350,900,150,g4s2,0.11333333,high,0.14333333,g4,shed
297,11,11.8,,,,,,,,,908,900,150,g4s2,0.11333333,high,0.14333333,g4,shed
298,3,,,,,,,,,,295,900,150,g4s2,0.11333333,high,0.14333333,g4,shed
299,15,9.4,,,,,,,,,840,900,150,g4s2,0.11333333,high,0.14333333,g4,shed
300,11.5,,,,,,,,,,670,900,150,g4s2,0.11333333,high,0.14333333,g4,shed
301,8,,,,,,,,,,730,900,150,g4s2,0.11333333,high,0.14333333,g4,shed
302,13.2,,,,,,,,,,630,900,150,g4s2,0.11333333,high,0.14333333,g4,shed
303,7.5,,,,,,,,,,680,900,150,g4s2,0.11333333,high,0.14333333,g4,shed
304,13,9,,,,,,,,,730,900,150,g4s2,0.11333333,high,0.14333333,g4,shed
305,5,8.5,,,,,,,,,730,900,150,g4s2,0.11333333,high,0.14333333,g4,shed
306,10.4,,,,,,,,,,850,900,150,g4s2,0.11333333,high,0.14333333,g4,shed
307,4,,,,,,,,,,325,900,150,g4s2,0.11333333,high,0.14333333,g4,shed
308,3,,,,,,,,,,285,900,150,g4s2,0.11333333,high,0.14333333,g4,shed
309,5,,,,,,,,,,390,900,150,g4s2,0.11333333,high,0.14333333,g4,shed
310,1.5,,,,,,,,,,170,900,150,g4s3,0.286666666,high,0.14333333,g4,shed
311,2,2,,,,,,,,,275,900,150,g4s3,0.286666666,high,0.14333333,g4,shed
312,4,,,,,,,,,,320,900,150,g4s3,0.286666666,high,0.14333333,g4,shed
