Latitude,Longitude
-29.463889,119.082222
-25.466667,131.816667
-26.516667,120.733333
-28.116667,145.966667
-28.083333,145.25
-26.083333,120.233333
-26.483333,119.766667
-29.866667,135.05
-31.176944,125.337222
-32.083333,138.3
-31.5,145.766667
-31.8,141.283333
-25.523611,131.815833
-32.233333,139.833333
-28.633333,144.783333
-26.6,118.4
-26.6,118.416667
-30.633333,143.033333
-26.6,118.4
-31.35,135.966667
-23.466667,133.833333
-32.1,145.05
-31.283333,142.3
-28.1,145.966667
-26.783333,146.083333
-22.736944,118.932222
-30.233333,121.2
-28.15,145.033333
-29,140.916667
-26.6,118.4
-28.161389,117.656944
-30.85,145.266667
-30.9,135.683333
-23.5,133.833333
-26.583333,118.416667
-32.083333,138.3
-29.7,132.466667
-23.516667,133.633333
-28.161389,117.656944
-23.466667,133.083333
-26.583333,120.233333
-26.633333,145
-30.05,142.833333
-25.466667,131.816667
-22.736944,118.932222
-30.85,145.266667
-28.161389,117.656944
-26.2,132.683333
-26.583333,120.233333
-21.866667,118.716667
-28.470278,143.851667
-29.455556,119.096111
-31.2,136.816667
-25.35,131.066667
-30.2,138.566667
-31.5,145.766667
-28.161389,117.656944
-28.335278,127.898611
-25.35,131.066667
-32.278333,136.253056
-23.783333,134.666667
-24.966667,114.866667
-30.316667,121.283333
-23.766667,121.133333
-30.083333,142.933333
-32.066667,137.433333
-24.816667,133.166667
-23.45,137.816667
-26.666667,144.266667
-26.033333,116.95
-27.6,117.883333
-31.583333,144.766667
-27.05,134.366667
-21.866667,118.716667
-22.322222,117.925
-23.45,137.816667
-25.333333,131.016667
-32.416667,137.666667
-23.366667,133.8
-21.683333,136.666667
-31.283333,142.3
-31.083333,141.666667
-31.783333,142.266667
-25.466667,131.816667
-22.683333,132.4
-30.033333,125.616667
-30.083333,142.933333
-25.333333,131.016667
-23.836667,133.750556
-27.083333,119.616667
-31.8,141.433333
-30.8,141.866667
-26.583333,120.233333
-31.216667,145.9
-26.166667,126.483333
-28.866667,141.95
-30.633333,143.033333
-23.55,133.2
-31.5,145.766667
-28.833333,134.25
-25.35,131.4
-32.633333,145.65
-31.5,145.1
-30.7,146.433333
-30,145.483333
-22.75,137.4
-26.2,132.683333
-28.161389,117.656944
-31.55,145.883333
-31.266667,142.316667
